year,state,region_type,region,crop_category,total_area_grown_ha,irrigated_area_ha,water_applied_ml,water_intensity_ml_per_ha,agricultural_businesses_estimate,source,notes,region_key,water_source,awd_ml_per_share,carry_over_ml_per_share,cumulative_allocation_ml_per_share,total_balance_ml_per_share,storage_value
2020-21,nsw,nrm,south east nsw,pasture & livestock feed,1594789.11,7663.39,16196.51,2.113,114.34,ABS Water Use on Australian Farms 2020-21,Combined grazing/fed-off + hay/silage ABS categories,south_east_nsw,murray,0.03,0.24,0.15,0.39,0
2020-21,nsw,nrm,south east nsw,vegetables,403.38,302.49,1008.45,3.334,27.03,ABS Water Use on Australian Farms 2020-21,,south_east_nsw,murray,0.03,0.24,0.15,0.39,0
2020-21,nsw,nrm,south east nsw,grapes & vineyards,362.37,274.71,597.39,2.175,40.44,ABS Water Use on Australian Farms 2020-21,,south_east_nsw,murray,0.03,0.24,0.15,0.39,0
2020-21,nsw,nrm,south east nsw,fruit & nuts,576.09,251.05,488.84,1.947,29.47,ABS Water Use on Australian Farms 2020-21,,south_east_nsw,murray,0.03,0.24,0.15,0.39,0
2020-21,nsw,state,new south wales,grains & oilseeds,5994137.44,208412.77,462355.63,2.218,727.57,ABS Water Use on Australian Farms 2020-21,Grains category is cereals excluding rice; oilseeds not separately included,new_south_wales,,,,,,0
2020-21,nsw,state,new south wales,pasture & livestock feed,41009783.49,167281.92,393402.81,2.352,2058.99,ABS Water Use on Australian Farms 2020-21,Combined grazing/fed-off + hay/silage ABS categories,new_south_wales,,,,,,0
2020-21,nsw,state,new south wales,vegetables,14142.45,9718.16,43707.25,4.497,613.99,ABS Water Use on Australian Farms 2020-21,,new_south_wales,,,,,,0
2020-21,nsw,state,new south wales,grapes & vineyards,33501.67,30764.31,141722.35,4.607,590.17,ABS Water Use on Australian Farms 2020-21,,new_south_wales,,,,,,0
2020-21,nsw,state,new south wales,fruit & nuts,59682.37,44977.68,237539.3,5.281,899.89,ABS Water Use on Australian Farms 2020-21,,new_south_wales,,,,,,0
2020-21,nsw,state,new south wales,cotton,166866.0,123869.68,826300.64,6.671,403.35,ABS Water Use on Australian Farms 2020-21,,new_south_wales,,,,,,0
2020-21,nsw,state,new south wales,rice,43907.0,43907.0,531434.4,12.104,383.44,ABS Water Use on Australian Farms 2020-21,,new_south_wales,,,,,,0
2019-20,nsw,nrm,central tablelands,grains & oilseeds,86086.92,509.4,1031.54,2.025,17.86,ABS Water Use on Australian Farms 2019-20,Grains category is cereals excluding rice; oilseeds not separately included,central_tablelands,lachlan,0.04,0.59,0.04,0.63,0
2019-20,nsw,nrm,central tablelands,vegetables,1497.8,1211.08,5932.76,4.899,13.32,ABS Water Use on Australian Farms 2019-20,,central_tablelands,lachlan,0.04,0.59,0.04,0.63,0
2019-20,nsw,nrm,central tablelands,grapes & vineyards,2594.28,1872.43,3135.65,1.675,101.95,ABS Water Use on Australian Farms 2019-20,,central_tablelands,lachlan,0.04,0.59,0.04,0.63,0
2019-20,nsw,nrm,central tablelands,fruit & nuts,1396.96,1084.53,4196.47,3.869,69.36,ABS Water Use on Australian Farms 2019-20,,central_tablelands,lachlan,0.04,0.59,0.04,0.63,0
2019-20,nsw,nrm,central west,grains & oilseeds,934339.14,4584.87,18618.64,4.061,27.66,ABS Water Use on Australian Farms 2019-20,Grains category is cereals excluding rice; oilseeds not separately included,central_west,macquarie,0.0,0.4,0.0,0.4,0
2019-20,nsw,nrm,central west,vegetables,531.21,465.9,1388.38,2.98,4.21,ABS Water Use on Australian Farms 2019-20,,central_west,macquarie,0.0,0.4,0.0,0.4,0
2019-20,nsw,nrm,central west,grapes & vineyards,184.56,35.38,71.51,2.021,7.94,ABS Water Use on Australian Farms 2019-20,,central_west,macquarie,0.0,0.4,0.0,0.4,0
2019-20,nsw,nrm,central west,fruit & nuts,372.14,318.7,1742.17,5.466,15.56,ABS Water Use on Australian Farms 2019-20,,central_west,macquarie,0.0,0.4,0.0,0.4,0
2019-20,nsw,nrm,central west,cotton,3903.59,1742.64,14113.0,8.099,20.84,ABS Water Use on Australian Farms 2019-20,,central_west,macquarie,0.0,0.4,0.0,0.4,0
2019-20,nsw,nrm,greater sydney,grains & oilseeds,316.91,230.0,1264.0,5.496,2.0,ABS Water Use on Australian Farms 2019-20,Grains category is cereals excluding rice; oilseeds not separately included,greater_sydney,murray,0.03,0.24,0.15,0.39,0
2019-20,nsw,nrm,greater sydney,vegetables,3063.88,2501.3,6898.73,2.758,433.59,ABS Water Use on Australian Farms 2019-20,,greater_sydney,murray,0.03,0.24,0.15,0.39,0
2019-20,nsw,nrm,greater sydney,fruit & nuts,889.58,764.63,2353.76,3.078,82.97,ABS Water Use on Australian Farms 2019-20,,greater_sydney,murray,0.03,0.24,0.15,0.39,0
2019-20,nsw,nrm,hunter,vegetables,74.01,36.04,62.33,1.729,14.48,ABS Water Use on Australian Farms 2019-20,,hunter,murray,0.03,0.24,0.15,0.39,0
2019-20,nsw,nrm,hunter,grapes & vineyards,2702.72,2049.44,3050.34,1.488,111.43,ABS Water Use on Australian Farms 2019-20,,hunter,murray,0.03,0.24,0.15,0.39,0
2019-20,nsw,nrm,hunter,fruit & nuts,446.68,250.13,776.43,3.104,31.59,ABS Water Use on Australian Farms 2019-20,,hunter,murray,0.03,0.24,0.15,0.39,0
2019-20,nsw,nrm,murray,grains & oilseeds,473048.0,24390.12,45590.98,1.869,130.4,ABS Water Use on Australian Farms 2019-20,Grains category is cereals excluding rice; oilseeds not separately included,murray,murray,0.03,0.24,0.15,0.39,0
2019-20,nsw,nrm,murray,vegetables,691.21,653.75,3281.19,5.019,16.3,ABS Water Use on Australian Farms 2019-20,,murray,murray,0.03,0.24,0.15,0.39,0
2019-20,nsw,nrm,murray,grapes & vineyards,957.83,848.54,4546.08,5.358,18.18,ABS Water Use on Australian Farms 2019-20,,murray,murray,0.03,0.24,0.15,0.39,0
2019-20,nsw,nrm,murray,fruit & nuts,3886.97,3776.1,22775.66,6.032,26.99,ABS Water Use on Australian Farms 2019-20,,murray,murray,0.03,0.24,0.15,0.39,0
2019-20,nsw,nrm,murray,cotton,879.05,879.05,7032.37,8.0,6.52,ABS Water Use on Australian Farms 2019-20,,murray,murray,0.03,0.24,0.15,0.39,0
2019-20,nsw,nrm,murray,rice,493.65,493.65,6928.22,14.035,7.6,ABS Water Use on Australian Farms 2019-20,,murray,murray,0.03,0.24,0.15,0.39,0
2019-20,nsw,nrm,north coast,vegetables,571.31,462.79,1020.68,2.205,124.51,ABS Water Use on Australian Farms 2019-20,,north_coast,murray,0.03,0.24,0.15,0.39,0
2019-20,nsw,nrm,north coast,fruit & nuts,15681.25,6705.74,12338.12,1.84,389.97,ABS Water Use on Australian Farms 2019-20,,north_coast,murray,0.03,0.24,0.15,0.39,0
2019-20,nsw,nrm,north coast,rice,54.89,54.89,21.96,0.4,5.49,ABS Water Use on Australian Farms 2019-20,,north_coast,murray,0.03,0.24,0.15,0.39,0
2019-20,nsw,nrm,north west nsw,grains & oilseeds,538285.63,16647.95,36236.3,2.177,113.17,ABS Water Use on Australian Farms 2019-20,Grains category is cereals excluding rice; oilseeds not separately included,north_west_nsw,lower_namoi,0.0,1.46,0.0,1.46,0
2019-20,nsw,nrm,north west nsw,vegetables,13.24,13.24,1.32,0.1,1.32,ABS Water Use on Australian Farms 2019-20,,north_west_nsw,lower_namoi,0.0,1.46,0.0,1.46,0
2019-20,nsw,nrm,north west nsw,grapes & vineyards,1.32,1.32,0.66,0.5,1.32,ABS Water Use on Australian Farms 2019-20,,north_west_nsw,lower_namoi,0.0,1.46,0.0,1.46,0
2019-20,nsw,nrm,north west nsw,fruit & nuts,2472.07,1928.21,11564.91,5.998,15.52,ABS Water Use on Australian Farms 2019-20,,north_west_nsw,lower_namoi,0.0,1.46,0.0,1.46,0
2019-20,nsw,nrm,north west nsw,cotton,36236.23,23783.84,103569.96,4.355,118.37,ABS Water Use on Australian Farms 2019-20,,north_west_nsw,lower_namoi,0.0,1.46,0.0,1.46,0
2019-20,nsw,nrm,northern tablelands,grains & oilseeds,40454.47,365.78,948.17,2.592,3.43,ABS Water Use on Australian Farms 2019-20,Grains category is cereals excluding rice; oilseeds not separately included,northern_tablelands,gwydir,0.0,0.86,0.0,0.86,0
