year,state,region_type,region,crop_category,total_area_grown_ha,irrigated_area_ha,water_applied_ml,water_intensity_ml_per_ha,agricultural_businesses_estimate,source,notes
2018-19,NSW,NRM,Central Tablelands,Rice,,,,,,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,Central West,Grains & Oilseeds,,,,,,ABS Water Use on Australian Farms 2018-19,Grains category is cereals excluding rice; oilseeds not separately included
2018-19,NSW,NRM,Central West,Pasture & Livestock Feed,4545365.06,15267.36,32618.9,2.137,118.31,ABS Water Use on Australian Farms 2018-19,Combined grazing/fed-off + hay/silage ABS categories
2018-19,NSW,NRM,Central West,Vegetables,,,,,,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,Central West,Grapes & Vineyards,144.79,14.79,115.25,7.792,2.47,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,Central West,Fruit & Nuts,340.14,39.44,76.42,1.938,3.7,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,Central West,Cotton,,25921.95,239292.95,9.231,85.61,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,Central West,Rice,,,,,,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,Greater Sydney,Grains & Oilseeds,,,,,,ABS Water Use on Australian Farms 2018-19,Grains category is cereals excluding rice; oilseeds not separately included
2018-19,NSW,NRM,Greater Sydney,Pasture & Livestock Feed,24187.23,974.5,2443.87,2.508,31.91,ABS Water Use on Australian Farms 2018-19,Combined grazing/fed-off + hay/silage ABS categories
2018-19,NSW,NRM,Greater Sydney,Vegetables,,,,,,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,Greater Sydney,Grapes & Vineyards,5.41,,,,,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,Greater Sydney,Fruit & Nuts,745.43,604.68,1042.05,1.723,90.05,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,Greater Sydney,Cotton,,,,,,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,Greater Sydney,Rice,,,,,,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,Hunter,Grains & Oilseeds,,,,,,ABS Water Use on Australian Farms 2018-19,Grains category is cereals excluding rice; oilseeds not separately included
2018-19,NSW,NRM,Hunter,Pasture & Livestock Feed,809045.11,27815.08,66172.62,2.379,257.32,ABS Water Use on Australian Farms 2018-19,Combined grazing/fed-off + hay/silage ABS categories
2018-19,NSW,NRM,Hunter,Vegetables,,,,,,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,Hunter,Grapes & Vineyards,1969.1,1960.25,4235.91,2.161,115.55,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,Hunter,Fruit & Nuts,289.88,240.52,534.58,2.223,10.69,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,Hunter,Cotton,,,,,,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,Hunter,Rice,,,,,,ABS Water Use on Australian Farms 2018-19,
